Year,Tamil_Nadu,Tamil_Nadu,Gujarat,Gujarat,Tripura,Tripura,Jammu_and_Kashmir,Jammu_and_Kashmir,Jharkhand,Jharkhand,India,India,Nagaland,Nagaland,West_Bengal,West_Bengal,Uttarakhand,Uttarakhand,Andhra_Pradesh,Andhra_Pradesh,Karnataka,Karnataka,Assam,Assam,Kerala,Kerala,Puducherry,Puducherry,Andaman_and_Nicobar_Islands,Andaman_and_Nicobar_Islands,Meghalaya,Meghalaya,Rajasthan,Rajasthan,Arunachal_Pradesh,Arunachal_Pradesh,Goa,Goa,Punjab,Punjab,Delhi,Delhi,Maharashtra,Maharashtra,Bihar,Bihar,Manipur,Manipur,Sikkim,Sikkim,Uttar_Pradesh,Uttar_Pradesh,Mizoram,Mizoram,Himachal_Pradesh,Himachal_Pradesh,Lakshadweep,Lakshadweep,Daman_and_Diu,Daman_and_Diu,Haryana,Haryana,Dadra_and_Nagar_Haveli,Dadra_and_Nagar_Haveli,Madhya_Pradesh,Madhya_Pradesh,Chattisgarh,Chattisgarh,Chandigarh,Chandigarh,Odisha,Odisha
Year,Area,Value,Area,Value,Area,Value,Area,Value,Area,Value,Area,Value,Area,Value,Area,Value,Area,Value,Area,Value,Area,Value,Area,Value,Area,Value,Area,Value,Area,Value,Area,Value,Area,Value,Area,Value,Area,Value,Area,Value,Area,Value,Area,Value,Area,Value,Area,Value,Area,Value,Area,Value,Area,Value,Area,Value,Area,Value,Area,Value,Area,Value,Area,Value,Area,Value,Area,Value,Area,Value,Area,Value
1953,0,0,0,0,0,0,0,0,0.93,29,0.93,42.08,0,0,0,0.05,0,10.82,0,0,0,0,0,2.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02,0,0,0,0,0.93,29,0,0,0,0,0,10.82,0,0,0,0,0,0,0,0,0,0,0,0,0,0.07,0,0.07,0,0,0,0
1954,0,0,0,0.013,0,0.028,0,0.27,1.59,15,2.61,40.52,0,0,0,7.6,0.74,6.82,0,0,0,0,0.27,10.62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0.17,0,0,0,0,1.59,15,0,0,0,0,0.74,6.82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1955,0,0,0,0,0,0.057,0,0,1.01,20.3,5.31,77.8,0,0,0,0.5,2.57,26.38,0.19,1.26,0,0,0.09,2.466,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.92,15.98,0,0.15,0,0,1.01,20.3,0,0,0,0,2.57,26.38,0,0,0,0,0,0,0,0,0.12,2.8,0,0,0,3,0,3,0,0,0.41,7.88
1956,0,0.01,0,0.287,0,0.13,0,0,0.4,5.22,1.11,44.44,0,0,0.4,7.42,0,21.48,0.05,0.27,0,0,0.08,3.098,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.06,0.8,0.01,0.04,0,0.208,0.4,5.22,0,0,0,0,0,21.48,0,0,0,0.01,0,0,0,0,0.02,3.319,0,0,0,0,0,0,0,0,0.09,2.15
1957,0,0,0,0.68,0,0,0,0,0.3,0,0.45,14.12,0,0,0,0.007,0,10.67,0.01,0,0,0.017,0.02,1.007,0.01,0.113,0,0,0,0,0,0,0,0,0,0,0,0,0.08,1.61,0,0.021,0,0,0.3,0,0,0,0,0,0,10.67,0,0,0.01,0.078,0,0,0,0,0,0,0,0,0.02,0,0.02,0,0,0,0,0
1958,0,0,0,0.026,0.01,0.175,0,0.16,0.29,3.198,1.4,38.28,0,0,0.13,5.55,0,0,0.08,1.121,0,0,0.07,1.705,0,0.015,0,0,0,0,0,0,0.03,0.81,0,0,0,0,0.43,18.1,0.01,0.015,0.11,0,0.29,3.198,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.22,7.3,0,0,0,0,0,0,0,0,0.02,0.1
1959,0.01,0,0,1.514,0,0,0.08,0,0.15,0,1.54,56.76,0,0,0.61,44,0,0,0.07,0,0,0.06,0.19,6.065,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.06,1.75,0,0,0.12,0,0.15,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03,0.64,0,0,0.01,0.072,0.01,0.072,0,0,0.2,3.24
1960,0,0,0.01,0.005,0,0,0,0,0.17,0,2.27,42.55,0,0,0.02,0,0.59,0,0,0,0,0,0.22,7.629,0,0,0,0,0,0,0,0,0.02,1.06,0,0,0,0,0.37,9.94,0.01,0,0,0,0.17,0,0,0,0,0,0.59,0,0,0,0,0.25,0,0,0,0,0.28,3.669,0,0,0,0,0,0,0,0,0.59,20
1961,0.01,0.447,0.26,0.686,0,0,0,0,0.45,13.25,1.97,24.04,0,0,0.01,0,0.22,0,0.01,0.121,0.01,0,0.02,0.431,0.05,0.301,0,0,0,0,0,0,0.03,0,0,0,0,0,0.2,4.72,0.01,1.029,0.01,0.087,0.45,13.25,0,0,0,0,0.22,0,0,0,0,0,0,0,0,0,0.17,2.96,0,0,0.01,0,0.01,0,0,0,0.51,0
1962,0,0,0.02,0.115,0,0.018,0,0,0.67,9.57,3.39,83.18,0,0,0.02,6.17,1.06,19.351,0.1,0,0.01,0.098,0.38,19.205,0.02,0.227,0,0,0,0,0,0,0,0.103,0,0,0,0,0.97,24.32,0,0.067,0.03,0.341,0.67,9.57,0.01,0.027,0,0,1.06,19.351,0,0,0,0,0,0,0,0,0.1,3.53,0,0,0,0.032,0,0.032,0,0,0,0.012
1963,0.01,0.297,0.06,0.388,0.01,0.324,0,0,0,0.758,2.05,30.17,0,0,0.03,0.15,1.2,18.306,0.18,0.094,0,0,0.08,1.974,0,0,0,0,0,0,0,0,0,0.48,0,0,0,0,0.02,0.48,0.01,0.636,0.16,1.32,0,0.758,0,0.006,0,0,1.2,18.306,0,0,0,0,0,0,0,0,0.2,3.95,0,0,0,0,0,0,0,0,0.09,1
1964,0.01,0.1,0.02,0.085,0.03,0.05,0,0,0.53,11.088,2.49,56.87,0,0,0.02,0.73,0.77,11.208,0.11,1,0,0,0.15,2.381,0.01,0.078,0,0,0,0,0,0,0.02,0.52,0,0,0,0,0.33,15.1,0.02,1.25,0.01,0.046,0.53,11.088,0.01,0.082,0,0,0.77,11.208,0,0,0,0,0,0,0,0,0.29,11.13,0,0,0,0.005,0,0.005,0,0,0.16,2.02
1965,0.01,0,0,0.005,0,0.045,0,0,0.11,1.804,0.27,5.87,0,0,0.06,2.85,0,0.11,0,0,0.01,0,0.02,0.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02,0,0,0,0,0.11,1.804,0,0,0,0,0,0.11,0,0,0,0,0,0,0,0,0.02,0.39,0,0,0.05,0,0.05,0,0,0,0.03,0
1966,0,0,0,0,0.01,0.52,0.02,0,1.12,39,2.16,80.15,0,0,0.03,1.59,0.28,6.909,0.04,1.05,0,0,0.4,21.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.18,8.27,0,0.2,0,0,1.12,39,0,0,0,0,0.28,6.909,0,0,0,0,0,0,0,0,0.07,0.91,0,0,0,0,0,0,0,0,0.01,0
1967,0,0,0,0.03,0,0.01,0,0,0.73,19.34,3.27,133.31,0,0,0.42,19.62,1.52,55.55,0,0,0,0,0.07,2.38,0,0,0,0,0,0,0,0,0.05,5.87,0,0,0,0,0.04,2.67,0.01,1.17,0,0,0.73,19.34,0,0,0,0,1.52,55.55,0,0,0,0,0,0,0,0,0.15,17.49,0,0,0.01,0.43,0.01,0.43,0,0,0.27,8.75
1968,0,0,0.17,6.754,0.02,0.97,0,0,0.19,10.14,2.62,144.61,0,0,0.95,53.56,0.4,8.31,0.07,24.089,0,0.37,0.13,8.032,0.11,7,0,0,0,0,0,0,0,0,0,0,0,0,0.06,6.17,0,0.02,0.02,1.3,0.19,10.14,0,0,0,0,0.4,8.31,0,0,0,0.007,0,0,0,0,0.13,9.31,0,0,0,0,0,0,0,0,0.37,8.58
